目标仓位,信号日,执行日,买卖方向,成交价,成交金额,已实现盈亏,已实现收益率%,操作建议,命中规则
9.88,2020-11-16,2020-11-17,买入,13.5566,9881.42,,,,强多头回踩不破
20.29,2020-11-18,2020-11-19,买入,13.2167,10603.71,,,,强多头回踩不破
31.36,2020-11-19,2020-11-20,买入,13.458,10794.37,,,,强多头回踩不破
15.0,2020-11-20,2020-11-23,卖出,13.1673,15815.18,-286.51,-1.78,,跌破50日线
29.59,2020-11-30,2020-12-01,买入,13.4963,14258.74,,,,强多头回踩不破
25.0,2020-12-01,2020-12-02,卖出,13.3465,4348.73,-33.56,-0.77,,跌破20日线
42.31,2020-12-02,2020-12-03,买入,13.5916,16968.91,,,,强多头回踩不破
18.84,2020-12-03,2020-12-04,卖出,13.4445,23100.02,-106.61,-0.46,,跌破50日线
37.8,2020-12-04,2020-12-07,买入,13.6053,18733.73,,,,强多头回踩不破
57.71,2020-12-07,2020-12-08,买入,13.5891,19869.12,,,,强多头回踩不破
25.74,2020-12-08,2020-12-09,卖出,13.2965,30963.28,-630.32,-2.0,,跌破50日线
15.0,2020-12-09,2020-12-10,卖出,12.8651,9859.93,-538.05,-5.17,,跌破50日线
15.0,2020-12-14,2020-12-15,卖出,13.4357,549.45,-5.38,-0.97,,跌破50日线
5.0,2020-12-24,2020-12-28,卖出,13.0586,9429.27,-367.25,-3.75,,跌破初始止损
26.61,2021-01-05,2021-01-06,买入,13.2265,21091.67,,,,强多头回踩不破
15.0,2021-01-06,2021-01-07,卖出,12.9636,10928.03,-276.17,-2.46,,跌破50日线
30.75,2021-01-07,2021-01-08,买入,13.3665,15027.6,,,,强多头回踩不破
41.35,2021-01-11,2021-01-12,买入,13.7566,9850.27,,,,强多头持续创新高
18.12,2021-01-14,2021-01-15,卖出,13.224,21644.45,-340.57,-1.55,,跌破50日线
15.0,2021-01-15,2021-01-19,卖出,13.0123,2782.75,-89.77,-3.13,,跌破50日线
29.37,2021-01-20,2021-01-21,买入,13.4225,13597.32,,,,强多头回踩不破
38.89,2021-01-21,2021-01-22,买入,13.7441,8843.45,,,,强多头持续创新高
16.8,2021-01-27,2021-01-28,卖出,12.9924,19916.12,-779.76,-3.77,,跌破50日线
15.0,2021-01-28,2021-01-29,卖出,13.0711,1808.12,-59.48,-3.18,,跌破50日线
31.36,2021-02-02,2021-02-03,买入,13.6401,15277.56,,,,强多头回踩不破
47.09,2021-02-04,2021-02-05,买入,13.7291,15085.57,,,,强多头回踩不破
59.6,2021-02-08,2021-02-09,买入,14.3451,11278.14,,,,强多头持续创新高
38.59,2021-02-09,2021-02-10,卖出,14.4589,21063.26,1015.79,5.07,,突破失败
47.72,2021-02-10,2021-02-11,买入,14.9847,8351.57,,,,强多头持续创新高
56.61,2021-02-11,2021-02-12,买入,15.0545,8849.59,,,,强多头持续创新高
36.64,2021-02-12,2021-02-16,卖出,15.0597,20180.6,1230.34,6.49,,突破失败
42.59,2021-02-16,2021-02-17,买入,15.1756,5856.58,,,,强多头持续创新高
54.44,2021-02-24,2021-02-25,买入,14.0497,13448.46,,,,强多头回踩不破
23.85,2021-02-25,2021-02-26,卖出,13.7484,29122.84,-1006.48,-3.34,,跌破50日线
15.0,2021-03-02,2021-03-03,卖出,13.4222,8099.27,-483.52,-5.63,,跌破50日线
5.0,2021-03-03,2021-03-04,卖出,12.7969,8987.98,-1001.98,-10.03,,跌破初始止损
0.0,2021-03-08,2021-03-09,卖出,12.1266,4526.51,-782.71,-14.74,,跌破初始止损
9.78,2021-04-01,2021-04-05,买入,13.8717,9326.88,,,,强多头持续创新高
15.39,2021-04-05,2021-04-06,买入,14.004,5276.45,,,,强多头持续创新高
21.15,2021-04-07,2021-04-08,买入,14.257,5288.54,,,,强多头持续创新高
27.09,2021-04-08,2021-04-09,买入,14.2183,5728.52,,,,强多头持续创新高
33.32,2021-04-09,2021-04-12,买入,14.294,5862.03,,,,强多头持续创新高
22.51,2021-04-12,2021-04-13,卖出,15.2269,11979.08,888.06,8.01,,突破失败
31.51,2021-04-13,2021-04-14,买入,15.6297,8420.21,,,,强多头持续创新高
20.11,2021-04-14,2021-04-15,卖出,15.6578,11275.73,823.87,7.88,,突破失败
28.71,2021-04-15,2021-04-16,买入,16.0578,8118.61,,,,强多头持续创新高
20.0,2021-04-16,2021-04-19,卖出,15.5318,7891.02,293.24,3.86,,突破失败
33.91,2021-04-29,2021-04-30,买入,15.1791,13942.96,,,,强多头回踩不破
25.18,2021-04-30,2021-05-03,卖出,15.1205,8432.68,39.77,0.47,,跌破20日线
24.14,2021-05-04,2021-05-05,卖出,14.7046,505.54,-11.85,-2.29,,跌破20日线（当前仓位已低于防守目标）
5.0,2021-05-12,2021-05-13,卖出,14.0295,17511.8,-1272.7,-6.78,,跌破初始止损
18.59,2021-05-20,2021-05-21,买入,15.1683,12708.57,,,,强多头回踩不破
29.02,2021-05-24,2021-05-25,买入,15.7707,9517.06,,,,强多头持续创新高
