日期,策略权益,买入持有权益,收盘价,仓位比例,现金,持仓份额,操作建议,目标仓位
2020-11-16,100000.0,101641.3359979301,13.456954002380371,0.0,100000.0,0.0,,0.0
2020-11-17,99857.9237108035,100941.95858234694,13.364358901977539,9.76,90116.60079051384,728.9031214844306,,9.88
2020-11-18,99862.63881955387,100990.81768660678,13.370827674865723,9.76,90116.60079051384,728.9031214844306,,9.76
2020-11-19,100001.69884091621,101077.32055894296,13.382280349731445,20.49,79510.77419722106,1531.198279230966,,20.29
2020-11-20,99119.84094341489,98426.3305840273,13.031298637390137,30.68,68714.24418274328,2333.274496022228,,31.36
2020-11-23,99338.92765090066,98819.27072798696,13.083322525024414,14.91,84526.26564921025,1132.1789226978306,,15.0
2020-11-24,99133.48311246242,97448.69469910052,12.901863098144531,14.73,84526.26564921025,1132.1789226978306,,14.91
2020-11-25,99445.74317639871,99531.86596110174,13.177667617797852,15.0,84526.26564921025,1132.1789226978306,,14.73
2020-11-27,99475.61174628643,99731.12726157939,13.204049110412598,15.03,84526.26564921025,1132.1789226978306,,15.0
2020-11-30,99633.71876381163,100785.9018974303,13.343697547912598,15.16,84526.26564921025,1132.1789226978306,,15.0
2020-12-01,99444.58361930413,100699.41343143476,13.332246780395508,29.34,70264.67034071467,2188.6718539816757,,29.59
2020-12-02,99734.92141864834,101861.3208194096,13.486079216003418,25.19,74612.53087474829,1862.8387199511822,,25.0
2020-12-03,99152.04346382264,100774.30479322003,13.342162132263184,41.87,57640.2285945122,3111.3259198768965,,42.31
2020-12-04,99548.32961047429,101994.87480025609,13.503761291503906,18.9,80735.62501273258,1393.1455238014316,,18.84
2020-12-07,99538.52589405383,102359.6937672984,13.552062034606934,37.71,61998.143525554835,2770.086373028311,,37.8
2020-12-08,98398.19604680367,100428.2716943643,13.296348571777344,57.19,42125.04635238623,4232.225816782669,,57.71
2020-12-09,97597.51741271347,97274.34916474919,12.878780364990234,25.12,73082.13393758606,1903.5485333510464,,25.74
2020-12-10,97632.092854488,97586.5417694559,12.920113563537598,15.05,82940.09372856871,1137.1416399451944,,15.0
2020-12-11,97678.52846609919,97894.97431925719,12.960948944091797,15.09,82940.09372856871,1137.1416399451944,,15.0
2020-12-14,98013.20343897845,100117.93750759934,13.255261421203613,15.38,82940.09372856871,1137.1416399451944,,15.0
2020-12-15,98076.97633169343,100507.24005054896,13.306803703308105,14.87,83489.43395854397,1096.2469048463497,,15.0
2020-12-16,97948.13980380051,99619.56455971053,13.189278602600098,14.76,83489.43395854397,1096.2469048463497,,14.87
2020-12-17,98055.95835323977,100362.4275144971,13.287631034851074,14.86,83489.43395854397,1096.2469048463497,,14.76
2020-12-18,97980.34632211746,99841.46542449435,13.218657493591309,14.79,83489.43395854397,1096.2469048463497,,14.86
2020-12-21,98046.12996011188,100294.7105103475,13.278665542602539,14.85,83489.43395854397,1096.2469048463497,,14.79
2020-12-22,97987.16901050726,99888.47331398274,13.224881172180176,14.8,83489.43395854397,1096.2469048463497,,14.85
2020-12-23,97693.4672254402,97864.8866768433,12.956965446472168,14.54,83489.43395854397,1096.2469048463497,,14.8
2020-12-24,97676.5422327429,97748.27455258228,12.941526412963867,14.52,83489.43395854397,1096.2469048463497,,14.54
2020-12-28,97724.2402460554,97043.00494367986,12.848151206970215,4.92,92916.81534199706,374.1725036245116,,5.0
2020-12-29,97740.35936411048,97368.38655323691,12.891230583190918,4.94,92916.81534199706,374.1725036245116,,4.92
2020-12-30,97815.82468430093,98891.73462137544,13.092916488647461,5.01,92916.81534199706,374.1725036245116,,4.94
2020-12-31,97782.00493904306,98209.04695141663,13.002531051635742,4.98,92916.81534199706,374.1725036245116,,5.01
2021-01-04,97803.80599982353,98649.12464193041,13.060795783996582,5.0,92916.81534199706,374.1725036245116,,4.98
2021-01-05,97912.34634289115,100840.12736357628,13.350876808166504,5.1,92916.81534199706,374.1725036245116,,5.0
2021-01-06,96556.9032944681,94895.29327563883,12.563801765441895,25.62,71820.92421890308,1968.8291440258167,,26.61
2021-01-07,97709.7524036258,100383.10061330673,13.29036808013916,15.31,82746.77266876386,1125.8514169537775,,15.0
2021-01-08,97470.43824690807,99877.22196194767,13.22339153289795,30.53,67716.16593343377,2250.124125830338,,30.75
2021-01-11,98243.04289384253,102470.65140286065,13.566752433776855,31.07,67716.16593343377,2250.124125830338,,30.53
2021-01-12,97701.13106665947,101441.93783721642,13.430554389953613,40.77,57863.92580857979,2966.1623862585225,,41.35
2021-01-13,97839.97191581332,101795.48384271273,13.477362632751465,40.86,57863.92580857979,2966.1623862585225,,40.77
2021-01-14,96860.64635164606,99301.71746630501,13.147196769714355,40.26,57863.92580857979,2966.1623862585225,,40.86
2021-01-15,96530.90304335547,96738.3684646356,12.807818412780762,17.64,79504.04525428453,1329.4112424392315,,18.12
2021-01-19,96758.24582222902,97985.25885600978,12.972902297973633,14.96,82286.23825001786,1115.5566610928443,,15.0
2021-01-20,97136.56287297016,100546.72062705614,13.312030792236328,15.29,82286.23825001786,1115.5566610928443,,14.96
2021-01-21,98085.63503175954,104321.25390483862,13.811765670776367,29.97,68686.198591614,2128.5791506259307,,29.37
2021-01-22,97699.445056988,103155.20469393153,13.657384872436523,38.75,59840.98398079115,2772.0139272492197,,38.89
2021-01-25,97535.87504419482,102709.51573374085,13.598377227783203,38.65,59840.98398079115,2772.0139272492197,,38.75
2021-01-26,96933.99904583265,101069.548338171,13.381251335144043,38.27,59840.98398079115,2772.0139272492197,,38.65
2021-01-27,95505.25302546649,97176.55892452634,12.865833282470703,37.34,59840.98398079115,2772.0139272492197,,38.27
2021-01-28,95859.65609088916,98178.95210583245,12.998546600341797,16.8,79753.11590552852,1239.1031613439852,,16.8
2021-01-29,95802.17845018173,97718.20131650903,12.937544822692871,14.87,81560.86945516228,1100.7736931693357,,15.0
2021-02-01,96073.24728942821,99578.16793989905,13.183797836303711,15.11,81560.86945516228,1100.7736931693357,,14.87
2021-02-02,96423.80753949677,101983.57302602881,13.502264976501465,15.41,81560.86945516228,1100.7736931693357,,15.0
2021-02-03,96208.3217411171,101786.1125181304,13.47612190246582,31.11,66280.25769642717,2220.8217068156514,,31.36
2021-02-04,96504.15780529339,102792.2585511716,13.609332084655762,31.32,66280.25769642717,2220.8217068156514,,31.11
2021-02-05,96127.33963250672,102241.23042826595,13.536377906799316,46.75,51191.67491579891,3319.622503604649,,47.09
2021-02-08,98930.23710576941,108618.60769056564,14.380720138549805,48.25,51191.67491579891,3319.622503604649,,46.75
2021-02-09,98238.34532796443,107298.36741585401,14.205924987792969,59.37,39911.277204184036,4105.826841539735,,59.6
2021-02-10,99924.51904239938,111067.24620493769,14.704911231994629,38.98,60970.3290718584,2649.059851907524,,38.59
2021-02-11,101320.53346358976,114727.0545890822,15.189456939697266,48.07,52617.08418230356,3206.3983244852525,,47.72
2021-02-12,100304.06992534043,112549.226465946,14.90112018585205,56.37,43765.72533612402,3794.2345195562575,,56.61
2021-02-16,101414.53120555107,115325.09060147624,15.268634796142578,36.95,63942.28745809759,2454.197395363753,,36.64
2021-02-17,100249.20904666447,112133.58913231763,14.846091270446777,42.06,58084.54032080651,2840.1191908197834,,42.59
2021-02-18,100031.39568361957,111554.33178493986,14.769399642944336,41.93,58084.54032080651,2840.1191908197834,,42.06
2021-02-19,100307.19636637831,112287.80180563312,14.866508483886719,42.09,58084.54032080651,2840.1191908197834,,41.93
2021-02-22,98692.71985183441,107994.2296843225,14.298054695129395,41.15,58084.54032080651,2840.1191908197834,,42.09
2021-02-23,98088.07968512885,106386.23716178954,14.085162162780762,40.78,58084.54032080651,2840.1191908197834,,41.15
2021-02-24,99097.92957571079,109071.85277641877,14.440728187561035,41.39,58084.54032080651,2840.1191908197834,,40.78
2021-02-25,94963.18621066028,100108.5229639951,13.25401496887207,53.0,44633.392530103236,3797.324342756507,,54.44
2021-02-26,96685.17911676328,103170.28092940491,13.659380912780762,23.72,73750.40997163279,1679.048947501783,,23.85
2021-03-01,96897.976140327,104127.53184233469,13.786117553710938,23.89,73750.40997163279,1679.048947501783,,23.72
